Year,Countries,1-12Years,13-19Years,20-29Years,30-39Years,40-49Years,50-59Years,60Years and Over,Subtotals
107,日本(Japan),476705,219008,793350,1127191,898182,682929,628583,4825948
107,韓國(Korea),74929,69778,232447,265617,213605,135055,95085,1086516
107,北韓(Democratic People's Republic of Korea),0,0,0,0,1,0,1,2
107,香港(Hong Kong),99550,50343,236144,383332,401901,301650,223345,1696265
107,中國大陸(Mainland China),169067,102930,352375,657740,968585,1010930,911077,4172704
107,澳門(Macao),45434,18333,82371,133945,134288,108360,82737,605468
107,蒙古(Mongolia),0,33,142,197,280,466,708,1826
107,越南(Vietnam),40332,22176,59077,155283,143180,131687,107388,659123
107,泰國(Thailand),35952,24735,144771,166881,131291,99134,76381,679145
107,馬來西亞(Malaysia),21234,14138,52906,65184,64365,54336,44763,316926
107,新加坡(Singapore),32231,17071,63690,79203,71809,49658,41005,354667
107,菲律賓(Philippines),11785,9800,61073,61593,44973,32460,25007,246691
107,汶萊(Brunei),15,9,84,114,174,298,399,1093
107,印尼(Indonesia),10912,6808,28527,39958,35491,27860,20457,170013
107,柬埔寨(Cambodia),2122,2189,11997,18093,19383,21879,17650,93313
107,寮國(Laos),0,17,141,224,280,288,355,1305
107,帝汶(Timor),0,0,0,0,0,0,0,0
107,緬甸(Myanmar),960,629,2128,4110,5527,6392,5355,25101
107,索羅門群島(Solomon Islands),1,1,21,32,42,29,23,149
107,吐瓦魯(Tuvalu),0,0,0,2,3,1,1,7
107,印度(India),116,289,2302,5295,5912,5837,5055,24806
107,巴基斯坦(Pakistan),0,6,12,101,95,60,48,322
107,斯里蘭卡(Sri Lanka),0,73,253,370,481,634,730,2541
107,孟加拉(Bangladesh),0,3,181,362,388,369,203,1506
107,尼泊爾(Nepal),0,119,317,437,503,538,436,2350
107,不丹(Bhutan ),0,22,170,282,345,500,323,1642
107,馬爾地夫(Maldives),6,63,778,1482,589,311,148,3377
107,塞席爾(Seychelles),0,0,4,17,18,9,20,68
107,吉里巴斯(Kiribati),0,0,1,1,2,2,2,8
107,伊朗(Iran),0,8,42,151,137,127,91,556
107,伊拉克(Iraq),0,7,114,242,284,202,117,966
107,巴林(Bahrain),0,14,8,45,25,20,19,131
107,南葉門(South Yemen),0,0,0,0,0,0,0,0
107,沙烏地阿拉伯(Saudi Arabia),0,0,66,185,177,84,69,581
107,科威特(Kuwait),0,2,16,32,25,21,31,127
107,卡達(Qatar),0,6,145,94,75,76,31,427
107,阿曼(Oman),0,8,40,56,31,28,11,174
107,以色列(Israel),0,115,1025,1917,1880,1790,1153,7880
107,約旦(Jordan),0,23,94,229,194,228,304,1072
107,敘利亞(Syria),0,0,0,1,1,0,1,3
107,黎巴嫩(Lebanon),0,17,54,165,164,116,67,583
107,阿拉伯聯合大公國(United Arab Emirates),2596,2774,10918,15743,13389,17506,20232,83158
107,葉門(Yemen),0,0,0,0,0,0,0,0
107,土耳其(TURKEY),1418,2237,7826,13481,15255,21995,21721,83933
107,賽普勒斯(Cyprus),0,0,50,40,38,46,44,218
107,阿富汗(觀光)(Afghanistan),0,0,0,0,0,0,0,0
107,埃及(Egypt),0,88,702,1336,1290,1663,1711,6790
107,摩洛哥(Morocco),0,62,143,326,477,754,771,2533
107,阿爾及利亞(Algeria),0,0,5,29,18,27,41,120
107,突尼西亞(Tunisia),0,14,6,32,52,71,120,295
107,"利比亞(Libya
)",0,0,0,0,0,0,0,0
107,蘇丹(Sudan),0,0,1,6,8,1,1,17
107,索馬利亞(Somalia),0,0,0,0,1,2,1,4
107,南非(S. Africa),0,65,334,574,520,696,778,2967
107,象牙海岸(Cote D'ivoire),0,0,2,7,17,7,5,38
107,奈及利亞(Nigeria),0,0,14,36,56,38,33,177
107,賴比瑞亞(Liberia),0,0,1,1,0,0,0,2
107,幾內亞(Guinea),0,0,5,1,10,4,2,22
107,安哥拉(Angola),0,0,5,4,9,3,7,28
107,剛果共和國(Congo),0,0,0,4,2,0,0,6
107,中非共和國(Central African),0,0,1,0,0,1,0,2
107,波札那(Botswana),0,0,0,0,1,0,3,4
107,喀麥隆(Cameroon),0,0,3,2,3,3,2,13
107,查德(Chad),0,0,6,35,13,19,4,77
107,衣索匹亞(Ethiopia),0,0,15,40,54,108,127,344
107,加彭(Gabon),0,0,1,1,0,2,0,4
107,甘比亞(Gambia),0,0,0,0,0,0,0,0
107,迦納(Ghana),0,0,8,20,16,24,19,87
107,肯亞(Kenya),0,20,132,308,212,297,333,1302
107,賴索托(Lesotho),0,3,21,34,22,29,12,121
107,馬拉加西(Madagascar),0,0,1,12,12,7,3,35
