Year,Countries,1-12Years,13-19Years,20-29Years,30-39Years,40-49Years,50-59Years,60Years and Over,Subtotals
108,日本(Japan),489566,212074,803116,1113194,927888,700350,665493,4911681
108,韓國(Korea),84196,73860,253381,278486,242561,157377,119201,1209062
108,北韓(Democratic People's Republic of Korea),0,0,0,0,0,0,0,0
108,香港(Hong Kong),84284,47809,212562,357261,400826,317894,255738,1676374
108,中國大陸(Mainland China),167340,100685,335963,594461,917241,980226,947770,4043686
108,澳門(Macao),44509,17422,77420,121608,134414,111912,89436,596721
108,蒙古(Mongolia),0,0,0,0,0,0,0,0
108,越南(Vietnam),47179,27670,81388,186313,187712,169913,153082,853257
108,泰國(Thailand),44159,30597,165349,193615,162912,129109,104425,830166
108,馬來西亞(Malaysia),20383,14146,49089,59496,61501,51354,43990,299959
108,新加坡(Singapore),33096,17876,67620,83677,77913,57310,49993,387485
108,菲律賓(Philippines),17205,13696,89524,83578,59128,39657,29004,331792
108,汶萊(Brunei),251,226,562,649,874,1215,2540,6317
108,印尼(Indonesia),10873,5670,27372,36598,32824,23797,18926,156060
108,柬埔寨(Cambodia),2417,2441,11082,17016,19067,20465,17487,89975
108,寮國(Laos),0,0,0,0,0,0,0,0
108,帝汶(Timor),0,0,0,0,0,0,0,0
108,緬甸(Myanmar),1088,562,1941,3764,5227,6267,6222,25071
108,索羅門群島(Solomon Islands),0,0,0,0,0,2,0,2
108,吐瓦魯(Tuvalu),0,0,0,1,0,1,2,4
108,印度(India),119,209,1021,1723,2376,3164,3326,11938
108,巴基斯坦(Pakistan),0,0,0,0,0,0,0,0
108,斯里蘭卡(Sri Lanka),0,0,0,0,1,0,8,9
108,孟加拉(Bangladesh),0,0,0,0,0,1,1,2
108,尼泊爾(Nepal),0,0,0,0,0,0,0,0
108,不丹(Bhutan ),0,152,1671,2240,1940,1702,1221,8926
108,馬爾地夫(Maldives),0,0,1,1,0,1,0,3
108,塞席爾(Seychelles),0,0,0,1,1,0,0,2
108,吉里巴斯(Kiribati),0,0,7,6,11,7,2,33
108,伊朗(Iran),0,0,1,5,4,3,0,13
108,伊拉克(Iraq),0,147,1359,2169,2360,1911,1340,9286
108,巴林(Bahrain),0,0,0,0,1,0,0,1
108,南葉門(South Yemen),0,0,0,0,0,0,0,0
108,沙烏地阿拉伯(Saudi Arabia),0,0,2,1,0,0,1,4
108,科威特(Kuwait),0,0,0,0,0,0,2,2
108,卡達(Qatar),0,0,1,4,13,5,4,27
108,阿曼(Oman),0,0,0,0,0,0,0,0
108,以色列(Israel),0,1039,16975,20130,15582,15498,12786,82010
108,約旦(Jordan),4,1,2,14,19,27,43,110
108,敘利亞(Syria),0,0,0,0,0,0,0,0
108,黎巴嫩(Lebanon),0,50,473,781,792,718,548,3362
108,阿拉伯聯合大公國(United Arab Emirates),3166,4319,18797,26166,22630,29613,31912,136603
108,葉門(Yemen),0,0,0,0,0,0,0,0
108,土耳其(TURKEY),1339,1910,8316,14053,15531,22687,23332,87168
108,賽普勒斯(Cyprus),5,1,12,47,54,100,145,364
108,阿富汗(觀光)(Afghanistan),0,0,0,0,0,0,0,0
108,埃及(Egypt),0,0,0,0,1,1,0,2
108,摩洛哥(Morocco),0,0,0,2,0,0,0,2
108,阿爾及利亞(Algeria),0,0,0,0,0,0,0,0
108,突尼西亞(Tunisia),0,0,0,1,0,0,0,1
108,"利比亞(Libya
)",0,0,0,0,0,0,0,0
108,蘇丹(Sudan),0,0,0,0,0,0,0,0
108,索馬利亞(Somalia),0,0,0,0,0,0,0,0
108,南非(S. Africa),0,1,2,1,4,2,3,13
108,象牙海岸(Cote D'ivoire),0,0,0,0,0,0,0,0
108,奈及利亞(Nigeria),0,0,0,0,0,0,0,0
108,賴比瑞亞(Liberia),0,0,0,0,0,0,0,0
108,幾內亞(Guinea),0,0,0,0,0,0,0,0
108,安哥拉(Angola),0,0,0,0,0,0,0,0
108,剛果共和國(Congo),0,0,0,0,0,0,0,0
108,中非共和國(Central African),0,0,0,0,0,0,0,0
108,波札那(Botswana),0,0,0,0,0,0,0,0
108,喀麥隆(Cameroon),0,0,0,0,0,0,0,0
108,查德(Chad),0,0,0,0,0,0,0,0
108,衣索匹亞(Ethiopia),0,0,0,0,0,0,0,0
108,加彭(Gabon),0,0,0,0,0,0,0,0
108,甘比亞(Gambia),0,0,0,0,0,0,0,0
108,迦納(Ghana),0,0,0,0,0,0,0,0
108,肯亞(Kenya),0,0,1,0,1,0,0,2
108,賴索托(Lesotho),0,0,0,0,0,0,0,0
108,馬拉加西(Madagascar),0,0,0,0,0,0,0,0
108,模里西斯(Mauritius),0,0,0,0,1,0,6,7
108,馬利(Mali),0,0,0,0,0,0,0,0
108,馬拉威(Malawi),0,0,0,0,0,0,0,0
108,莫三鼻克(Mozambique),0,0,0,0,0,0,0,0
108,尼日(Niger),0,0,0,0,0,0,0,0
108,盧安達(Rwanda),0,0,0,0,0,0,0,0
108,塞內加爾(Senegal),0,0,0,0,0,0,0,0
108,獅子山(Sierra Leone),0,0,0,0,0,0,0,0
108,坦桑尼亞(Tanzania),0,0,0,0,0,0,0,0
108,烏干達(Uganda),0,0,0,0,0,0,0,0
108,尚比亞(Zambia),0,0,0,0,0,0,0,0
108,多哥(Togolese Republic),0,0,0,0,0,0,0,0
108,辛巴威(Zimbabwe),0,0,0,0,0,0,0,0
108,史瓦濟蘭(Swaziland),0,0,0,0,0,0,0,0
108,布吉納法索(Burkina Faso),0,0,0,0,0,0,0,0
108,貝南(Benin),0,0,0,0,0,0,0,0
108,赤道幾內亞(Equatorial Guinea),0,0,0,0,0,0,0,0
108,維德角島(Cape Verde),0,0,0,0,0,0,0,0
108,吉布地(Djibouti),0,0,0,0,0,0,0,0
108,西撒哈拉(Saharaui),0,0,0,0,0,0,0,0
108,幾內亞比索(Guinea Bissau),0,0,0,0,0,0,0,0
108,葛摩(Comoros),0,0,0,0,0,0,0,0
108,留尼旺(Reunion),0,0,0,0,0,0,0,0
108,聖多美及普林西比(Sao Tome & Principe),0,0,0,0,0,0,0,0
108,美國(United States of America),28213,22067,70041,94947,100620,97055,138035,550978
108,加拿大(Canada),6745,6646,16436,17157,18240,26196,34054,125474
108,百慕達(Bermuda),0,0,0,0,0,0,0,0
108,墨西哥(Mexico),0,0,0,0,0,0,0,0
108,巴拿馬(Panama),0,0,16,13,8,9,9,55
108,巴貝多(Barbados),0,0,0,0,0,0,0,0
108,巴哈馬(Bahamas),0,0,0,1,0,0,0,1
